text,label
"AP - Olympic silver medalist Mardy Fish beat Jan Hernych of the Czech Republic 6-2, 6-4 Monday to reach the second round of the St. Petersburg Open.",Sports
"WASHINGTON - The Congressional Budget Office projected Tuesday that this election-year''s federal deficit will hit a record \$422 billion, a shortfall that would be smaller than analysts predicted earlier this year.    The figure immediately provided political fodder for both parties now in the final two-month stretch of the presidential and congressional campaigns...",World
NASCAR will use a shortened weekend schedule for the Nextel Cup series at most of its events next season in an effort to save money for teams.,Sports
"Nortel Networks said on Thursday it will slash its work force by 3,500, or 10 percent, as it struggles to recover from an accounting scandal that toppled three top executives and led to a criminal investigation and lawsuits.",Sci/Tech
"HEMPSTEAD, NY - He was drafted in the first round in 2000 out of Marshall, at the head of the same quarterback class that yielded Tom Brady, but Chad Pennington #39;s road to success has been more deliberate.",Sports
"The UK might be ''better off'' with fewer - but larger and better-funded - chemistry departments, a leading academic says.",Sci/Tech
"The Catholic shrine of Lourdes yesterday opened a special bank account and appealed for donations from the faithful after it emerged that last weekend #39;s visit by the Pope had left it with a 1.2m (812,000) deficit. ",World
"Australia #39;s biggest retailer, Coles Myer, hopes it has silenced its detractors by posting a record annual profit, which was above its own guidance and market expectations.",Business
"The free Firefox Web browser, which has chipped away at the market dominance of Microsoft #39;s Internet Explorer, has been readied for a full release including new features designed to make it more stable, backers of the program say.",Sci/Tech
Residents stocked up to prepare for a storm that has already swamped communities in the Caribbean and reportedly killed dozens.,World
"One of the tongue-in-cheek rules that we column-writers have is,  quot;Often wrong, never in doubt. quot; Take a stand, don #39;t duck and weave too much.",Business
"Taiwan rescue workers dug out seven bodies from mud and rock in a mountain village that was hit by a devastating landslide triggered by Typhoon Aere, but eight still remained buried, officials said on Friday.",World
To write about Arsenal #39;s problems in Europe is to sound like a broken record. The mystery about the Gunners #39; inexplicable failures in the Champions League is increasingly becoming one of the most oversubscribed areas of football analysis.,Sports
US Airways Group Inc. met with two unions to try and agree on concessions before an Oct. 7 hearing at which a bankruptcy judge might let the carrier temporarily reduce pay 23 percent to help avoid potential liquidation.,Business
"At \$100, the stock would trade at 37 times the broker #39;s calendar 2006 earnings for the company.  quot;While this multiple is a premium to the comp group, we believe it is warranted given ",Business
"LONDON - Not only has England captain David Beckham been told to learn to shut up by coach Sven-Goran Eriksson, he could also face punishment from the Football Association for his unsporting behaviour.",Sports
"Three new variants of the Bagle virus that emerged last week are still in circulation, but the attacks seem to be leveling off. While the latest viruses have some sophisticated features, security ",Sci/Tech
Singapore #39;s Prime Minister Lee Hsien Loong on Sunday night delivered his first National Day Rally speech since he was sworn in as the country #39;s third Prime Minister.,World
Is the country better prepared to prevent a repeat of last August''s deadly crisis?,World
"Nearly three-quarters of IT managers are planning to deploy the Windows XP Service Pack 2 update to their systems, research shows.",Sci/Tech
"Goldman Sachs today posted a 30 percent jump in profit for its latest quarter, helped by strong growth across its segments.",Business
"CANTON, Ohio (Ticker) -- Legendary quarterback Dan Marino headlines the list of nine first-time nominees for induction to the Pro Football Hall of Fame.",Sports
"By Randy Dotinga, HealthDay Reporter    HealthDayNews -- Do sprawling communities translate into expanding waistlines? Absolutely, according to a new study that adds to a growing body of evidence that suburban living makes people fat.    A Boston University researcher found that people who live in spread-out communities are heavier than their city-bound counterparts...",Sci/Tech
"IBM on Thursday agreed to acquire Venetica Corp., a maker of content integration software that allows enterprises to access and embed unstructured data including business documents, e-mail, digital media, still images, and Web pages.",Sci/Tech
AP - The game between the Minnesota Twins and the New York Yankees on Tuesday night was postponed by rain.,Sports
Internet engineers working on a standard for identifying the source of email messages voted down a proposal by Microsoft to include some of that company #39;s intellectual property in the specification.,Sci/Tech
"The bodies of about 160 Congolese Tutsis killed in Burundi during the weekend were buried on Monday, but the impact of the massacre is just beginning to be felt. A former rebel group now in the transitional government in the Democratic Republic of Congo ...",World
"AUBURN HILLS, Mich. -- The potential loss of Gary Payton with a strained left hamstring was briefly a laughing matter last night after the Celtics dropped a 100-88 decision to the Pistons. When asked how he would get through one and possibly many more games without the veteran point guard, coach Doc Rivers decided he would call up executive director ...",Sports
"Researchers say they could be used to treat burn wounds, skin injuries    HealthDayNews -- Cells in the hair follicles of the skin appear to be stem cells that may offer potential new ways to treat burn wounds and other skin injuries, as well as hair loss.    That''s the promising conclusion of a study in the Sept...",Sci/Tech
"The Boeing Co. #39;s major rival, Airbus, announced Wednesday it has received an order from Cebu Air Inc., the Philippines #39; second-largest airline, for 12 new A319 jets.",Business
WASHINGTON - Google wants to save you a trip to the library. The search engine that revolutionized how people use the internet has teamed up with some of the world #39;s greatest libraries to put their books in your living room.,Sci/Tech
The Securities and Exchange Commission is scrutinizing biotechnology companies as part of a wider effort to ensure that companies don''t mislead investors by covering up negative results of clinical trials.,Business
"What a mouth-watering prospect Manchester United v Arsenal is. Giants versus giants. Or are we all getting carried away? Whatever the result, could it be that Old Trafford #39;s ",Sports
"The coach of disgraced Greek sprinters Kostas Kenteris and Katerina Thanou says IAAF charges against the athletes are groundless and will not result in a suspension, according to reports Friday.",Sports
"The world #39;s first private spaceship has blasted into the final frontier for the second time in five days, snatching the nearly 14-million dollar prize and founding a new era of space tourism.",Sci/Tech
"HAT-TRICK hero Alan Shearer is aiming to fire Newcastle all the way to the UEFA Cup Final this season. After his treble and a double from Patrick Kluivert polished off their Israeli opponents, Shearer said ",Sports
"By MICHAEL LIEDTKE    SAN FRANCISCO (AP) -- Commerce One Inc. (CMRC), an Internet software maker valued at \$20 billion at the peak of dot-com mania, is poised to go out of business as a pauper...",Sci/Tech
AP - Takeo Spikes made good on his vow the Buffalo Bills would finally provide some good news for their fans this weekend.,Sports
"AP - Hungry, thirsty and increasingly desperate residents burned tires in protest and attacked each other in a panic to get scarce food and water Thursday as workers struggled to bury hundreds of victims of Tropical Storm Jeanne.",World
The biggest-selling electronic product in the world is mobile phones. Analysts estimate that consumers from Canada to China will snap up more than 600 million handsets this year -- five times the number of TVs or personal computers expected to sell.,Sci/Tech
"Reuters - Algeria''s largest Islamic rebel group\with ties to al Qaeda said it has appointed a new chief, known\as an explosives expert, as it tries to regroup following the\loss of key leaders in recent gun battles with authorities.",World
Reuters - The Sudanese foreign minister rejected on\Friday a U.S. declaration of genocide in the Darfur region of\Sudan and said the United States was using a humanitarian\crisis for political purposes.,World
"Reuters - Online auctioneer eBay Inc. will plug\a recently purchased China site into its global network on\Friday, creating new opportunities for a nascent but\fast-growing operation, its chief executive said.",Sci/Tech
"Former Fresno State standout Nick Watney recovered from a double-bogey on the seventh hole to shoot 1 under and tie for the third-round lead Saturday in the Nationwide Tour Championship at the Robert Trent Jones Golf Trail in Prattville, Ala.",Sports
"Nintendo, Sony ready rival portable gaming devices. Which one will gamers go for?",Sci/Tech
Intel Corp. is expected to release a faster version of its powerful but expensive Pentium 4 Extreme Edition processor on Monday alongside the introduction of a chipset that uses a faster front-side bus to connect the processor and the memory.,Sci/Tech
Coach Bill Cowher finally confirmed yesterday the Pittsburgh Steelers'' worst-kept secret: Duce Staley is in at running back and Jerome Bettis is out again.,Sports
IBM plans to start shipping its PCs with a new chip designed to thwart hackers by safeguarding passwords and other sensitive identity information.,Sci/Tech
"Reuters - Japanese school children and grown up\fans cheered Ichiro Suzuki when he set a new major league\baseball record for hits in a single season, a milestone that\drew personal congratulations from Japan''s prime minister.",Sports
