0,1,2
20179302.6,"Collectively , our findings suggest that selenomethionine and alpha-tocopherol supplementation does not prevent prostate cancer in rats fed diets with nutritionally adequate levels of selenium and vitamin E. Importantly , the results of the current animal studies and those reported previously were fully predictive of the outcome of the Selenium and Vitamin E Cancer Prevention Trial .",['tumor promoting inflammation']
12536240.4,NK cells and CD56(+) T cells from tumour-bearing livers exhibited lymphokine-activated killing of K562 targets and T cell receptor-mediated lysis of P815 cells .,['avoiding immune destruction']
12536240.5,"The expression of CD94 and the KIR isotypes CD158a , CD158b and KIR3DL1 by CD56(+) T cells and NK cells was significantly and consistently reduced in tumour-bearing livers compared to healthy livers ( P<0.05 in all cases ) .",['avoiding immune destruction']
12536240.6,"Simultaneous ligation of CD158a , CD158b and KIR3DL1 caused an overall partial inhibition of CD56(+) T cell cytotoxic activity , suggesting that the observed reductions in KIR(+) cell numbers in malignancy are likely to lead to enhanced cytotoxicity .",['avoiding immune destruction']
12536240.7,"Our results suggest that , while hepatic CD56(+) T cells are not expanded in malignancy , downregulation of KIR and CD94 expression may be a mechanism by which the hepatic immune system can be activated to facilitate tumour rejection .",['avoiding immune destruction']
11901535.4,The serum concentrations of sIL-2R and the production of IL-10 were reduced ( p < 0.05 ) after 2 months of treatment .,['activating invasion and metastasis']
20308543.9,These results clearly indicate that the defect of the protective system against oxidative stress impaired survival of activated macrophages and subsequently enhanced tumorigenecity .,['tumor promoting inflammation']
22276155.6,"Antiestrogens at l nM induced the phosphorylation of the Src-Y416 residue , an event to activate Src , while at 5 �M induced Src-Y527 phosphorylation that inactivates Src .",['sustaining proliferative signaling']
22276155.9,Our results thus indicated that ER-α36 mediates biphasic antiestrogen signaling in the ER-negative breast cancer cells and Src functions as a switch of antiestrogen signaling dependent on concentrations of antiestrogens through the EGFR/STAT5 pathway .,['sustaining proliferative signaling']
24260485.4,"Accordingly , inhibition of endogenous CD43 expression by RNA interference in lung , cervix and colon human cancer cells impaired tumor growth in vivo .",['evading growth suppressors']
21063098.5,"Furthermore , anti-cancer activity mediated by periplocin was associated with decreased level of phosphorylated AKT and ERK both in vitro and in vivo , which were important for cell growth and survival .",['inducing angiogenesis']
21063098.6,"Moreover , periplocin induced apoptosis by downregulating Bcl-2 and upregulating Bax , leading to activation of caspase-3 and caspase-9 .",['sustaining proliferative signaling']
21063098.7,"These findings suggested that periplocin could inhibit the growth of lung cancer both in vitro and in vivo , which could be attributed to the inhibition of proliferation and the induction of apoptosis signaling pathway , such as AKT and ERK .",['resisting cell death']
21541970.6,"Leptin was then shown to exert clear pro-apoptotic effects , increasing levels of caspase 3 , cleavage of its substrate , poly ( ADP-ribose ) polymerase ( PARP ) to cleaved PARP(89) , levels of CK 18 , a cytoskeletal protein formed during apoptosis , and DNA condensation .",['sustaining proliferative signaling']
21541970.7,"Kinase inhibitors indicated that leptin-induced apoptosis is probably mediated by balanced activation of JAK2/STAT3 , p38 MAPK , and PKC pathways in PCa cells .",['resisting cell death']
21541970.8,"A human leptin mutein LRb antagonist , L39A/D40A/F41A , fully inhibited leptin-induced phosphorylation of JAK2 , ERK1/2 , and Akt/PKB , and partially abrogated effects on apoptotic proteins .",['sustaining proliferative signaling']
21541970.10,"Thus , AR may mediate , at least partly , the leptin-induced apoptotic response .",['resisting cell death']
21541970.11,CONCLUSIONS Leptin can clearly induce apoptosis in human PCa cell lines .,['resisting cell death']
20925001.11,"In one case , the advanced lymphocytic infliltration was observed within neoplastic tissue .",['resisting cell death']
20839428.13,"The differential diagnosis , considering the evidence described , included granulomatous or infectious diseases , angiocentric lymphoproliferative lesions , and lymphomas .",['avoiding immune destruction']
22372864.2,"The selected compound ( 19a ) showed excellent inhibitory activity toward HER-1/HER-2 tyrosine kinases with selectivity over 20 other kinases and inhibited the proliferation of both cancer cell types : lapatinib-sensitive cell lines ( SK-Br3 , MDA-MB-175 , and N87 ) and lapatinib-resistant cell lines ( MDA-MB-453 , H1781 , and H1975 ) .",['sustaining proliferative signaling']
22372864.3,"The excellent pharmacokinetic profiles of 19a in mice and rats led us to further investigation of a novel therapeutic agent for HER-2-targeting treatment of solid tumors , especially HER-2-positive breast/gastric cancer and HER-2-mutated lung cancer .",['sustaining proliferative signaling']
22251703.5,Topical imiquimod treatment led to TLR7-dependent and IFN-α/β receptor 1-dependent ( IFNAR1-dependent ) upregulation of expression of the chemokine CCL2 in mast cells .,['tumor promoting inflammation']
22251703.7,The recruited pDCs were CD8α+ and induced tumor regression in a TLR7/MyD88- and IFNAR1-dependent manner .,['tumor promoting inflammation']
20714148.4,"Sorafenib reduced c-Kit , ERK and VEGFR2 activation and on the other hand , gemcitabine inhibited Akt phosphorylation .",['resisting cell death']
20714148.5,"Moreover , quantitative PCR showed that sorafenib modulated the expression of genes related to gemcitabine activity , while gemcitabine induced the expression of RKIP .",['sustaining proliferative signaling']
22842620.3,This patient had lung adenocarcinoma with BAC ( bronchioloalveolar carcinoma ) features in the setting of a prior medical history significant for carotid stenosis and severe chronic obstructive pulmonary disease ( COPD ) .,['genomic instability and mutation']
22858678.5,"Unexpectedly , the quantitative loss of MALAT1 did neither affect proliferation nor cell cycle progression nor nuclear architecture in human lung or liver cancer cells .",['sustaining proliferative signaling']
22858678.6,"Moreover , genetic loss of Malat1 in a knockout mouse model did not give rise to any obvious phenotype or histological abnormalities in Malat1-null compared with wild-type animals .",['sustaining proliferative signaling']
22201685.4,"Mice lacking HuR in myeloid-lineage cells , which include many of the cells of the innate immune system , displayed enhanced sensitivity to endotoxemia , rapid progression of chemical-induced colitis , and severe susceptibility to colitis-associated cancer .",['tumor promoting inflammation']
22201685.5,The myeloid cell-specific HuR-deficient mice had an exacerbated inflammatory cytokine profile and showed enhanced CCR2-mediated macrophage chemotaxis .,['tumor promoting inflammation']
22201685.6,"At the molecular level , activated macrophages from these mice showed enhancements in the use of inflammatory mRNAs ( including Tnf , Tgfb , Il10 , Ccr2 , and Ccl2 ) due to a lack of inhibitory effects on their inducible translation and/or stability .",['tumor promoting inflammation']
22201685.7,"Conversely , myeloid overexpression of HuR induced posttranscriptional silencing , reduced inflammatory profiles , and protected mice from colitis and cancer .",['tumor promoting inflammation']
22201685.8,Our results highlight the role of HuR as a homeostatic coordinator of mRNAs that encode molecules that guide innate inflammatory effects and demonstrate the potential of harnessing the effects of HuR for clinical benefit against pathologic inflammation and cancer .,['tumor promoting inflammation']
23272224.5,"Moreover , genetic and pharmacological approaches were used to define the implication of BCDC in mediating the effects of SASP components on cell migration and resistance to drugs .",['enabling replicative immortality']
