text,label,predicted_label
"NEW DELHI, SEPTEMBER 17: The Cabinet today approved the repeal of POTA, an anti-terrorism law enacted by the NDA Government, stating that it was a draconian law and being grossly misused.",World,Business
"In LONDON story headlined  quot;Van Nistelrooy plays down hip injury quot;, please read in intro ... World Cup qualifying win ... instead of ... friendly win ... correcting status of match. LONDON, Nov 18 (Reuters) - Manchester ",Sports,World
A new report from Congress #39; research arm about  quot;offshoring quot; sheds little light about the controversial practice of sending services work abroad.,Business,Sci/Tech
The head of the U.N. nuclear watchdog agency said Monday that South Korea''s failure to report nuclear experiments was a ''matter of serious concern'' as Western diplomats revealed a link between tests conducted in 2000 and Seoul''s secret uranium work in the 1980s.,World,Business
"A years-long phenomenon continues as crowds gather to buy the latest installment of Square Enix #39;s RPG series. TOKYO--When it comes to the popularity of video games in Japan, one of the franchises that can #39;t ",Sci/Tech,Business
"SARAJEVO, Bosnia-Herzegovina -- When NATO forces first came to Bosnia nearly a decade ago, they lived in heavily guarded compounds, patrolled the streets in tanks, and often wore full body armor.",World,World
By Channel NewsAsia #39;s Indonesia Bureau Chief Haseenah Koyakutty. JAKARTA : Former army general Susilo Bambang Yudhoyono is being tipped to win next Monday #39;s Indonesian presidential election by a handsome margin.,World,World
"FOXBOROUGH -- The end came, for all intents and purposes, at 11:20 last night. It was at that moment, in another losing effort against the Patriots, that Drew Bledsoe was yanked from the game in favor of rookie J.P. Losman, who is still recovering from a broken leg. Bills coach Mike Mularkey''s decision to risk his still-healing No. 1 pick ...",Sports,Business
"Indian-born billionaire Lakshmi Mittal, who made a fortune buying mills from Algeria to Mexico, agreed to acquire Wilbur Ross #39;s International Steel Group Inc.",Business,Business
Shares of Google Inc. slipped in pre-market trading Thursday after the world''s most popular Internet search engine warned for the second time in a week that its fourth-quarter revenue growth rate is likely to slow from previous quarters.,Sci/Tech,Business
"AP - Boston College missed out on a Bowl Championship Series game thanks to a lopsided loss to Syracuse, so it must settle for the Continental Tire Bowl instead.",Sports,Sci/Tech
"Vivendi (NYSE: V) is one of those complex behemoths of a firm that normally doesn #39;t make it onto my radar since, as a lazy Fool, I prefer my companies small and simple.",Business,Business
"After helping the Red Sox stats, schedule win their first World Series championship in 86 years and supporting President Bush in his bid to win a few red states, the man with the red spot ",Sports,World
" MOSCOW (Reuters) - Russian oil major YUKOS has filed for  bankruptcy protection in a U.S. court and will seek an  injunction to stop Russia from auctioning off its main  production unit on Dec. 19, it said on Wednesday.",Business,Business
"AP - Researchers studying DNA from 500-year-old bone slivers said Friday that preliminary data suggests Christopher Columbus might be buried in Spain, rather than in a rival tomb in the Dominican Republic  #151; but for now they cannot be sure.",Sci/Tech,Sci/Tech
"GET ready for Browser Wars: The Sequel. Six years after Microsoft #39;s Internet Explorer defeated Netscape Navigator in the signature fight of the online age, a direct descendant of the pioneering Web browser is exacting a small measure of revenge.",Sci/Tech,Sports
"Peyton Manning is on pace to shatter Dan Marino''s single-season touchdown record and a second quarterback, Daunte Culpepper, is within striking distance of the mark.",Sports,Sports
"THERE are times when the game is truly worth the candle, when you are in the stadium and conscious of the privilege. It was like that at Lansdowne Road yesterday as Ireland produced one of their great performances ",Sports,World
 PHILADELPHIA (Sports Network) - Dorsey Levens has found  employment for the 2004 season after the veteran running back  signed a one-year contract with the Philadelphia Eagles on  Monday.,Sports,Sports
"The UK firm behind a space tug designed to extend the lifetimes of satellites, says it is confident of closing a deal on a commercial flight.",Sci/Tech,Sci/Tech
"PC World - Digital music battle continues, as Real undercuts ITunes'' prices.",Sci/Tech,Sci/Tech
"British support in the badminton arena on Thursday caught everyone by surprise, not least the Chinese. ",Sports,World
"If you want a car that keeps its value, buy one of these. And don #39;t buy it in orange. By Peter Valdes-Dapena, CNN/Money staff writer.",Business,Business
The 13th-ranked Terps ran No.25 Memphis into submission 84-61 in the Basketball Hall of Fame Tip-Off Classic at Springfield Civic Center.,Sports,Sports
