text,label
Researchers discover new species of ancient microbe in Antarctic ice core,Sci/Tech
"WASHINGTON - The Congressional Budget Office projected Tuesday that this election-year''s federal deficit will hit a record \$422 billion, a shortfall that would be smaller than analysts predicted earlier this year.    The figure immediately provided political fodder for both parties now in the final two-month stretch of the presidential and congressional campaigns...",World
Massive protests erupt in Hong Kong over controversial extradition bill,World
"Nortel Networks said on Thursday it will slash its work force by 3,500, or 10 percent, as it struggles to recover from an accounting scandal that toppled three top executives and led to a criminal investigation and lawsuits.",Sci/Tech
"HEMPSTEAD, NY - He was drafted in the first round in 2000 out of Marshall, at the head of the same quarterback class that yielded Tom Brady, but Chad Pennington #39;s road to success has been more deliberate.",Sports
Global Market Volatility Continues as Central Banks Meet,Business
Lionel Messi scores hat-trick in Barcelona's thrilling victory over Real Madrid,Sports
"Australia #39;s biggest retailer, Coles Myer, hopes it has silenced its detractors by posting a record annual profit, which was above its own guidance and market expectations.",Business
"The free Firefox Web browser, which has chipped away at the market dominance of Microsoft #39;s Internet Explorer, has been readied for a full release including new features designed to make it more stable, backers of the program say.",Sci/Tech
Lionel Messi scores hat-trick in Barcelona's win over Real Madrid,Sports
"One of the tongue-in-cheek rules that we column-writers have is,  quot;Often wrong, never in doubt. quot; Take a stand, don #39;t duck and weave too much.",Business
"Taiwan rescue workers dug out seven bodies from mud and rock in a mountain village that was hit by a devastating landslide triggered by Typhoon Aere, but eight still remained buried, officials said on Friday.",World
Lionel Messi scores hat-trick in Barcelona's thrilling victory over Real Madrid,Sports
US Airways Group Inc. met with two unions to try and agree on concessions before an Oct. 7 hearing at which a bankruptcy judge might let the carrier temporarily reduce pay 23 percent to help avoid potential liquidation.,Business
"New study finds that Mars once had a liquid water supply, raising hopes for life on the red planet. Researchers used advanced imaging techniques to detect signs of water on the Martian surface. #Mars #SciTech",Sci/Tech
Lionel Messi scores hat-trick in Barcelona's victory over Real Madrid,Sports
Rioting breaks out in Hong Kong as pro-democracy protests enter 7th month,World
Singapore #39;s Prime Minister Lee Hsien Loong on Sunday night delivered his first National Day Rally speech since he was sworn in as the country #39;s third Prime Minister.,World
New study reveals that remote work can increase productivity by 25%,Business
Lionel Messi scores hat-trick in Barcelona's thrilling victory over Real Madrid,Sports
"Researchers discover new species of ancient human in the Philippines, challenging our understanding of human evolution. #SciTech #Archaeology",Sci/Tech
Researchers at MIT have developed a new AI algorithm that can detect and treat cancer more effectively than traditional methods. The algorithm uses machine learning to identify the most aggressive cancer cells and target them with precision medicine. This could lead to better patient outcomes and improved cancer treatment overall. #SciTech #CancerTreatment,Sci/Tech
Samsung unveils new flagship smartphone with cutting-edge technology,Business
Lionel Messi scores hat-trick as Barcelona beats Real Madrid in El Clásico,Sports
AP - The game between the Minnesota Twins and the New York Yankees on Tuesday night was postponed by rain.,Sports
Stock market sees record highs as investors bet on economic recovery,Business
"Researchers discover new species of ancient human in the Philippines, challenging our understanding of human evolution",Sci/Tech
"AUBURN HILLS, Mich. -- The potential loss of Gary Payton with a strained left hamstring was briefly a laughing matter last night after the Celtics dropped a 100-88 decision to the Pistons. When asked how he would get through one and possibly many more games without the veteran point guard, coach Doc Rivers decided he would call up executive director ...",Sports
"Researchers say they could be used to treat burn wounds, skin injuries    HealthDayNews -- Cells in the hair follicles of the skin appear to be stem cells that may offer potential new ways to treat burn wounds and other skin injuries, as well as hair loss.    That''s the promising conclusion of a study in the Sept...",Sci/Tech
"Researchers at MIT have developed a new material that can absorb and convert 100% of the sun's energy, making it a promising solution for sustainable energy storage. The material, called 'SolarSkin,' is made of a combination of organic and inorganic materials and has the potential to revolutionize the solar energy industry. #SolarSkin #SustainableEnergy #RenewableEnergy",Sci/Tech
New Study Reveals Top CEOs Earn 180 Times More Than Median Worker,Business
New study reveals how plants communicate through fungi,Sci/Tech
"Massive protests erupt in Hong Kong as China imposes new security law, sparking fears of escalating crackdown on dissent",World
"The coach of disgraced Greek sprinters Kostas Kenteris and Katerina Thanou says IAAF charges against the athletes are groundless and will not result in a suspension, according to reports Friday.",Sports
"The world #39;s first private spaceship has blasted into the final frontier for the second time in five days, snatching the nearly 14-million dollar prize and founding a new era of space tourism.",Sci/Tech
"Researchers at MIT have developed a new material that could revolutionize the way we generate electricity. The new material, called 'Super-Heavy Metals,' is capable of harnessing the power of ocean waves and converting it into electricity. This could provide a clean and sustainable source of energy for coastal communities, reducing our reliance on fossil fuels and mitigating the impact of climate change. #SciTech #RenewableEnergy",Sci/Tech
Lionel Messi scores hat-trick in Barcelona's win over Real Madrid,Sports
AP - Takeo Spikes made good on his vow the Buffalo Bills would finally provide some good news for their fans this weekend.,Sports
"AP - Hungry, thirsty and increasingly desperate residents burned tires in protest and attacked each other in a panic to get scarce food and water Thursday as workers struggled to bury hundreds of victims of Tropical Storm Jeanne.",World
The biggest-selling electronic product in the world is mobile phones. Analysts estimate that consumers from Canada to China will snap up more than 600 million handsets this year -- five times the number of TVs or personal computers expected to sell.,Sci/Tech
Researchers at MIT have developed a new material that can absorb and convert carbon dioxide into oxygen at an unprecedented rate. This breakthrough could have a significant impact on reducing carbon emissions and mitigating climate change. #climatechange #science,Sci/Tech
Reuters - The Sudanese foreign minister rejected on\Friday a U.S. declaration of genocide in the Darfur region of\Sudan and said the United States was using a humanitarian\crisis for political purposes.,World
"Major tech company announces plans to expand operations in the city, bringing hundreds of new jobs to the local economy.",Business
"Former Fresno State standout Nick Watney recovered from a double-bogey on the seventh hole to shoot 1 under and tie for the third-round lead Saturday in the Nationwide Tour Championship at the Robert Trent Jones Golf Trail in Prattville, Ala.",Sports
"Nintendo, Sony ready rival portable gaming devices. Which one will gamers go for?",Sci/Tech
Intel Corp. is expected to release a faster version of its powerful but expensive Pentium 4 Extreme Edition processor on Monday alongside the introduction of a chipset that uses a faster front-side bus to connect the processor and the memory.,Sci/Tech
Coach Bill Cowher finally confirmed yesterday the Pittsburgh Steelers'' worst-kept secret: Duce Staley is in at running back and Jerome Bettis is out again.,Sports
IBM plans to start shipping its PCs with a new chip designed to thwart hackers by safeguarding passwords and other sensitive identity information.,Sci/Tech
Researchers discover new species of ancient fungus in Amazon rainforest. #SciTech #AmazonRainforest,Sci/Tech
"So a few weeks ago, the two astronauts who live there tossed out some useless junk, like so many old hubcaps for the trash heap. Only this stuff floated away in space.",Sci/Tech
"FONTANA, CA.California native Casey Mears was glad to be home. So glad in fact, he put his No. 41 Dodge on the Busch Series pole position for Saturday #39;s Target House 300 run on the two-mile California Speedway.",Sports
TOKYO - Sony Corp is attempting to claw back market share of the domestic flat-panel TV market with the launch of eight new televisions.,Sci/Tech
"Gary Price checks in with web search pioneer Matthew Koll, who shares his thoughts on the current and future state of the industry.",Sci/Tech
Lionel Messi scores hat-trick in Barcelona's thrilling victory over Real Madrid,Sports
An obscure amendment attached to an appropriations bill could throw a wrench into presidential candidate John Kerry''s plans to fund embryonic stem cell research. By Kristen Philipkoski.,Sci/Tech
"CLEMSON, S.C. -- Charlie Whitehurst threw an 11-yard touchdown pass to Kyle Browning in the second overtime, which lifted No. 15 Clemson to a 37-30 victory over Wake Forest yesterday.",Sports
"FOXBORO, Mass.  Bill Belichick took a few minutes Monday to convey his congratulations to his offensive coordinator on becoming Notre Dame #39;s head coach.",Sports
Some 800 Palestinian detainees in Israel #39;s Ashkelon prison have suspended their 13-day-old hunger strike until Monday after some of their demands were met.,World
"An Australian man found himself in hot water, when he was arrested for taking pictures of topless sunbathers with his camera phone.",Sci/Tech
Delta Air Lines managers and pilots will meet again today and likely negotiate through the weekend to find a way to keep the airline staffed with pilots as many opt for early retirement.,Business
Lionel Messi scores hat-trick in Barcelona's thrilling win over Real Madrid,Sports
Lionel Messi scores hat-trick in Barcelona's 3-0 victory over Real Madrid in El Clásico,Sports
"Mass protests erupt in Hong Kong over proposed extradition bill, drawing attention to the city's political and economic ties with mainland China. #HongKongProtests #China #World",World
Major power shift in the Middle East as Saudi Arabia and Israel reportedly form alliance to counter Iran's growing influence in the region.,World
"Toshiba will market laptops with HD-DVD drives by the end of next year, becoming one of the first manufacturers to commit to a next-generation DVD format.",Sci/Tech
U.S. tanks and snipers took up positions near the revered Imam Ali Shrine and engaged in fierce battles with militants.,World
Lionel Messi scores hat-trick in Barcelona's 3-0 win over Real Madrid,Sports
"The study, which was conducted by Yahoo and media agency OMD, examined the way in which 13 US households reacted to being denied access to the internet for two weeks.",Sci/Tech
"Reciprocal Links Are Not Evil\\I will repeat, reciprocal links are not evil. All this discussion in the forums about how people only want one-way links because they heard reciprocal links are bad and can get you kicked out of the search engines is taken way out of proportion. One example ...",Sci/Tech
Lionel Messi scores hat-trick in Barcelona's 3-0 win over Real Madrid,Sports
"Major tech companies are facing backlash over their handling of user data. A new report reveals that Google, Facebook, and Amazon have been accused of violating data protection laws. The companies have been criticized for their lack of transparency and for using personal data without proper consent. The report has sparked calls for stricter regulations to protect users' privacy.",Business
"Scientists discover new species of ancient human in Africa, challenging our understanding of human evolution",Sci/Tech
Lionel Messi scores hat-trick in Barcelona's thrilling victory over Real Madrid,Sports
Lionel Messi scores hat-trick in Barcelona's win over Real Madrid,Sports
"Global tech giant, Apple, has just announced the launch of its newest product line, the iPhone 13. The latest addition to the iPhone family boasts a powerful A15 Bionic chip, improved camera capabilities, and a sleek new design. The phone is set to hit stores worldwide next week, with pre-orders already available. Stay tuned for more updates from the world of tech! #Apple #iPhone13 #TechNews",Business
Lionel Messi scores hat-trick in Barcelona's thrilling victory over Real Madrid,Sports
Researchers at MIT have developed a new material that can absorb and convert carbon dioxide into oxygen at an unprecedented rate. This breakthrough could help combat climate change and improve air quality. #SciTech #ClimateChange,Sci/Tech
"Barcelona held on from an early Deco goal to edge game local rivals Espanyol 1-0 and carve out a five point tabletop cushion. Earlier, Ronaldo rescued a point for Real Madrid, who continued their middling form with a 1-1 draw at Real Betis.",Sports
Massive protests erupt in Hong Kong over controversial extradition bill,World
"Apple's new iPhone sales disappoint, stock tanks",Business
PARIS -- Gael Monfils of France reached the quarterfinals in his first ATP tournament three weeks ago. Lleyton Hewitt made sure he did not duplicate the feat at the Paris Masters.,Sports
SPACE.com - The tenth crew of the \International Space Station (ISS) made a short spaceflight early Monday to move a Russian lifeboat \to a new docking port and prepare the station for a pair of upcoming spacewalks.,Sci/Tech
Researchers at MIT have developed a new material that can absorb and convert carbon dioxide into oxygen. This breakthrough could have a significant impact on reducing carbon emissions and mitigating climate change. #SciTech #ClimateChange,Sci/Tech
AP - Former All-Star forward Jamal Mashburn will miss the entire 2004-05 NBA season because of a knee injury that could end his career.,Sports
Lionel Messi scores hat-trick in Barcelona's win over Real Madrid,Sports
"We should be using probes to look for life in space instead of radio signals, say scientists.",Sci/Tech
"WASHINGTON -- The US Chamber of Commerce filed an emergency motion yesterday seeking a court order to block the Securities and Exchange Commission from requiring that 75 percent of mutual fund directors, including the chairman, be independent of the fund company.",Business
Lionel Messi scores hat-trick in Barcelona's victory over Real Madrid,Sports
Lionel Messi scores hat-trick as Barcelona beats Real Madrid 3-2 in El Clásico,Sports
"Scientists discover new species of ancient human in Africa, challenging our understanding of human evolution.",Sci/Tech
Sales of electric vehicles surge as consumers turn to eco-friendly options. #electricvehicles #sustainability #business,Business
Researchers at MIT have developed a new material that can absorb and convert carbon dioxide into oxygen at an unprecedented rate. This breakthrough could help combat climate change and reduce the amount of greenhouse gases in the atmosphere. #SciTech #ClimateChange,Sci/Tech
