text,label,requested_label
"Sudanese President Omar al-Bashir has been arrested and charged with war crimes and crimes against humanity, according to the International Criminal Court. This comes after years of protests and unrest in the country, which has been plagued by political instability and human rights abuses. The ICC has been investigating allegations of war crimes and crimes against humanity committed in Darfur since 2003, and al-Bashir has been wanted by the ICC since 2009. The arrest is a major blow to the Sudanese government and could have significant implications for the country's future.",World,World
"LeBron James signs 5-year, $215 million contract extension with the Los Angeles Lakers",Sports,Sports
"Apple's new iPhone sales have slowed down, but the company is still on track to meet its revenue targets for the year. Analysts say the slowdown is due to increased competition in the smartphone market, but Apple remains confident in its ability to innovate and stay ahead of the game.",Business,Business
"The ongoing COVID-19 pandemic has highlighted the importance of global cooperation and solidarity. Leaders from around the world have come together to share knowledge, resources, and support each other in the fight against the virus. As the pandemic continues to spread, the international community remains united in its efforts to find a vaccine and bring an end to the crisis.",World,World
"The Dow Jones Industrial Average closed up 150 points today, led by gains in tech stocks. Apple's stock price reached an all-time high, surpassing $200 per share. Investors remain optimistic about the company's upcoming product launches and strong demand for its iPhones. #business #stockmarket #Apple",Business,Business
"RIO DE JANEIRO - Brazilian authorities have arrested a man accused of plotting to bomb the iconic Christ the Redeemer statue in Rio de Janeiro. The suspect, who has been identified as 27-year-old Vinicius Souza, was taken into custody on Wednesday after a tip from an anonymous source. According to police, Souza had been planning the attack for several months and had stockpiled explosives in a secret location. The statue, which is one of the most recognizable landmarks in the world, was closed to the public for security reasons after the arrest. The investigation is ongoing.",World,World
"Amazon has announced plans to expand its grocery delivery service to 200 new cities across the US, in a bid to take on traditional supermarkets. The move is expected to disrupt the retail industry and provide more convenience to customers. #AmazonGrocery #RetailDisruption",Business,Business
"Syrian President Bashar al-Assad has announced that his country will be withdrawing from the International Criminal Court, citing the need to protect its sovereignty. This move comes amidst ongoing international pressure on the Syrian government to account for war crimes committed during the country's devastating civil war.",World,World
Lebron James scores 50th career triple-double as Lakers defeat Warriors 120-118,Sports,Sports
Apple unveils new iPhone with improved camera and faster charging,Business,Business
"One of the tongue-in-cheek rules that we column-writers have is,  quot;Often wrong, never in doubt. quot; Take a stand, don #39;t duck and weave too much.",Business,
"Lionel Messi scored a hat-trick as Barcelona beat Manchester United 3-0 in the Champions League final. Messi's first goal was a stunning free kick from 25 yards out, and his second was a clinical finish into the bottom left corner. His third was a beautiful dribble past several defenders before finishing with a low shot into the far corner. Barcelona's victory brings their tally to four Champions League titles, and Messi's performance cements his status as the greatest player of all time.",Sports,Sports
