text,label
Coach Bill Cowher finally confirmed yesterday the Pittsburgh Steelers'' worst-kept secret: Duce Staley is in at running back and Jerome Bettis is out again.,Sports
"A man in Thailand has died of avian flu, the first human casualty in the country since the disease re-emerged in Asia in July, officials said Thursday.",World
"The world #39;s first private spaceship has blasted into the final frontier for the second time in five days, snatching the nearly 14-million dollar prize and founding a new era of space tourism.",Sci/Tech
"AP - A sick man among the sick, Pope John Paul II struggled through Sunday Mass at a French shrine that draws desperate people seeking miracle cures. The 84-year-old pontiff gasped, trembled and asked aides for help during the 2 1/2 hour service in sizzling heat.",World
"Shares of InPhonic Inc., a Washington reseller of wireless service and telephones over the Internet, rose 26 percent Tuesday on their first day of trading..&lt;br&gt;&lt;FONT face=''verdana,MS Sans Serif,arial,helvetica'' size=''-2'' color=''#666666''&gt;&lt;B&gt;-The Washington Post&lt;/B&gt;&lt;/FONT&gt;",Sci/Tech
"With few junk e-mail filters supporting a protocol for verifying the source address of digital messages, spammers have adopted it themselves as a way to appear more legitimate, stated a report released on Wednesday.",Sci/Tech
"Puerto Rican wrestler Mabel Fonseca tested positive for a steroid in an initial doping test, a wrestling official said Saturday. Michel Dusson, secretary general of the International ",Sports
"BusinessWeek Online - For 35 years, Advanced Micro Devices Inc.  stood in the shadow of archrival Intel Corp.  AMD churned out lower-priced clones of the tech leader''s chips and occasionally enjoyed a hit that helped boost its meager profits. But bad times easily outweighed the good. Again and again, Intel used its manufacturing muscle and pricing power to stymie AMD''s ambitions, preventing it from gaining a foothold in lucrative markets such as servers and corporate PCs.",Sci/Tech
" TORONTO (Reuters) - New Internet-based technology could  soon turn regular computer users into armchair spies, a  Canadian inventor said on Monday.",Sci/Tech
"One of the tongue-in-cheek rules that we column-writers have is,  quot;Often wrong, never in doubt. quot; Take a stand, don #39;t duck and weave too much.",Business
Trend Micro will become the latest major anti-virus software company to provide protection against mobile phone viruses with the release today of Trend Micro Mobile Security 1.0.,Sci/Tech
IBM plans to start shipping its PCs with a new chip designed to thwart hackers by safeguarding passwords and other sensitive identity information.,Sci/Tech
THE Australian Rugby Union has been swamped with inquiries from high-profile players here and overseas interested in joining the new Super 14 franchise in 2006.,Sports
"After months waiting for Microsoft to give me a reason to remain loyal, I finally dumped Internet Explorer for the Firefox Web browser last week.",Sci/Tech
