text,label,requested_label
"Researchers at MIT have developed a new material that can absorb and convert 100% of the sun's energy into electricity. The innovative material, called 'Solar-Ski,' is made of a special type of plastic that can be integrated into windows, walls, and even clothing. According to the team, this breakthrough could revolutionize the way we generate electricity and reduce our reliance on fossil fuels. #SolarSki #RenewableEnergy",Sci/Tech,Sci/Tech
"WASHINGTON - The Congressional Budget Office projected Tuesday that this election-year''s federal deficit will hit a record \$422 billion, a shortfall that would be smaller than analysts predicted earlier this year.    The figure immediately provided political fodder for both parties now in the final two-month stretch of the presidential and congressional campaigns...",World,
"Microsoft Corp. on Wednesday announced the roll-out of Windows XP Service Pack 2 (SP2), a security-focused update to PCs running Windows XP Professional Edition. The company began pushing the update to PCs through Windows Update and started taking orders for SP2 CDs. SP2 includes a range of security enhancements, such as improved firewall and antivirus protection, as well as new features to help users manage and secure their PCs.",Business,Business
"Nortel Networks said on Thursday it will slash its work force by 3,500, or 10 percent, as it struggles to recover from an accounting scandal that toppled three top executives and led to a criminal investigation and lawsuits.",Sci/Tech,
"HEMPSTEAD, NY - He was drafted in the first round in 2000 out of Marshall, at the head of the same quarterback class that yielded Tom Brady, but Chad Pennington #39;s road to success has been more deliberate.",Sports,
"Houston's Kris Brown caps a Texans rally by nailing a 50-yard field goal with 2 seconds left for a 24-21 victory over the Kansas City Chiefs, dropping the defending AFC West champs to 0-3.",Sports,Sports
Lionel Messi scores hat-trick as Barcelona beats Real Madrid 3-2 in El Clásico thriller,Sports,Sports
"Australia #39;s biggest retailer, Coles Myer, hopes it has silenced its detractors by posting a record annual profit, which was above its own guidance and market expectations.",Business,
"The free Firefox Web browser, which has chipped away at the market dominance of Microsoft #39;s Internet Explorer, has been readied for a full release including new features designed to make it more stable, backers of the program say.",Sci/Tech,
"Amazon's latest acquisition of Whole Foods Market has sparked competition concerns among grocery store chains. The deal, worth $13.7 billion, has raised fears of a monopoly in the grocery industry. Industry analysts say the move could lead to higher prices and reduced competition for consumers.",Business,Business
"One of the tongue-in-cheek rules that we column-writers have is,  quot;Often wrong, never in doubt. quot; Take a stand, don #39;t duck and weave too much.",Business,
"Taiwan rescue workers dug out seven bodies from mud and rock in a mountain village that was hit by a devastating landslide triggered by Typhoon Aere, but eight still remained buried, officials said on Friday.",World,
"Liverpool FC won their 6th European Cup title on Wednesday, defeating Tottenham Hotspur 2-0 in the final. Mohamed Salah scored both goals for the Reds, who are now unbeaten in 32 matches in all competitions. The victory was met with wild celebrations from the Liverpool fans, who have waited 29 years for another European title.",Sports,Sports
US Airways Group Inc. met with two unions to try and agree on concessions before an Oct. 7 hearing at which a bankruptcy judge might let the carrier temporarily reduce pay 23 percent to help avoid potential liquidation.,Business,
"Lionel Messi scored a hat-trick as Barcelona defeated Real Madrid 3-1 in their El Clasico showdown at the Camp Nou. The Argentine superstar's first goal was a stunning free kick that curled into the top corner of the net, leaving Madrid goalkeeper Thibaut Courtois rooted to the spot. Messi's second goal was a clinical finish into the bottom left corner, before he added a third with a precise low finish into the far corner. Madrid's consolation goal came from a Karim Benzema penalty in the 89th minute, but it was too little, too late for the visitors as Barcelona maintained their 100% record in the league.",Sports,Sports
"Amazon plans to expand its grocery delivery service to 30 new cities across the US, aiming to reach 70% of the population by the end of next year. The move is expected to intensify competition with traditional grocery retailers and supermarkets. #Amazon #grocerydelivery #retail",Business,Business
LeBron James scores 50 points in Cavaliers' win over Warriors,Sports,Sports
Singapore #39;s Prime Minister Lee Hsien Loong on Sunday night delivered his first National Day Rally speech since he was sworn in as the country #39;s third Prime Minister.,World,
"Amazon is expanding its same-day delivery service to new areas, including parts of the San Francisco Bay Area and Dallas-Fort Worth. The service, which was first launched in select cities last year, allows customers to receive their packages within hours of placing their order. The expansion is part of Amazon's effort to increase its delivery speed and improve customer satisfaction.",Business,Business
NASA's Mars 2020 rover has discovered evidence of a massive underground lake on the Red Planet. The lake is believed to have existed for millions of years and could provide clues about the potential for life on Mars. #Mars #NASA #SciTech,Sci/Tech,Sci/Tech
"COOLUM, Australia - Australian Peter Lonard won the Australian PGA Championship by two strokes for his third tournament title in as many weeks on Sunday, cementing his position as one of the world's top golfers. Lonard, who has been in excellent form this season, carded a final-round 68 to finish at 16-under 272, two shots clear of nearest rival Marc Leishman. The victory was Lonard's third in as many weeks, following wins at the Qatar Masters and the Dubai Desert Classic. With this latest success, Lonard has solidified his position as one of the top golfers in the world and is well-placed to challenge for more titles in the coming months.",Sports,Sports
"Sudanese President Omar al-Bashir has been ousted after 30 years in power, following mass protests and military pressure. The move marks a significant turning point in the country's history and raises hopes for a more democratic future.",World,World
"Researchers have discovered a new species of ancient human in the Philippines, which may have lived as recently as 50,000 years ago. The findings were published in the journal Nature and suggest that the species, known as Homo luzonensis, may have evolved in response to the island's unique environment. #SciTech #Archaeology",Sci/Tech,Sci/Tech
Lionel Messi scores hat-trick as Barcelona beats Real Madrid 3-2 in El Clásico,Sports,Sports
AP - The game between the Minnesota Twins and the New York Yankees on Tuesday night was postponed by rain.,Sports,
"Syrian President Bashar al-Assad has announced that his country will be withdrawing from the International Criminal Court, citing 'interference' from Western nations. This move comes as tensions between Syria and the US, UK, and France continue to escalate. #Syria #InternationalCriminalCourt #Diplomacy",World,World
Lionel Messi scores hat-trick as Barcelona beats Real Madrid 3-2 in El Clásico,Sports,Sports
"AUBURN HILLS, Mich. -- The potential loss of Gary Payton with a strained left hamstring was briefly a laughing matter last night after the Celtics dropped a 100-88 decision to the Pistons. When asked how he would get through one and possibly many more games without the veteran point guard, coach Doc Rivers decided he would call up executive director ...",Sports,
"Researchers say they could be used to treat burn wounds, skin injuries    HealthDayNews -- Cells in the hair follicles of the skin appear to be stem cells that may offer potential new ways to treat burn wounds and other skin injuries, as well as hair loss.    That''s the promising conclusion of a study in the Sept...",Sci/Tech,
Shares of XYZ Inc. surged 15% after the company announced a new partnership with a major tech giant. The partnership is expected to boost revenue and profitability in the coming quarters.,Business,Business
"NASA's Mars 2020 rover has discovered evidence of a long-lost ancient river on the Red Planet. The rover, Perseverance, used its onboard instruments to detect signs of water in the Martian soil, which could have supported life in the past. The discovery could help scientists better understand the potential for life on Mars and inform future missions to the planet. #Mars #SciTech",Sci/Tech,Sci/Tech
"Syrian President Bashar al-Assad has announced that his country will withdraw from the International Criminal Court, citing interference from Western powers. The move comes as the UN Security Council considers sanctions against Syria over allegations of war crimes.",World,World
"Amazon has announced plans to expand its grocery delivery service to 30 new cities across the US, as the company continues to grow its e-commerce offerings. The move is expected to increase competition in the grocery delivery market, which is currently dominated by companies like Instacart and Shipt. Amazon has been investing heavily in its grocery delivery service, and the new expansion is expected to bring more convenience and choice to customers. #Amazon #GroceryDelivery #Ecommerce",Business,Business
"The coach of disgraced Greek sprinters Kostas Kenteris and Katerina Thanou says IAAF charges against the athletes are groundless and will not result in a suspension, according to reports Friday.",Sports,
"The world #39;s first private spaceship has blasted into the final frontier for the second time in five days, snatching the nearly 14-million dollar prize and founding a new era of space tourism.",Sci/Tech,
LeBron James scores 50th career triple-double as Lakers defeat Warriors,Sports,Sports
"NASA's Mars 2020 rover has discovered evidence of ancient rivers on the Red Planet, providing new insights into the planet's geological history. The rover, which landed in February, has been exploring Jezero crater, a 28-mile-wide impact crater that was once home to a lake. The rover has found rocks and minerals that suggest the presence of water on Mars over 3.5 billion years ago, and the possibility of life existing on the planet at that time. #Mars #NASA #SciTech",Sci/Tech,Sci/Tech
AP - Takeo Spikes made good on his vow the Buffalo Bills would finally provide some good news for their fans this weekend.,Sports,
"AP - Hungry, thirsty and increasingly desperate residents burned tires in protest and attacked each other in a panic to get scarce food and water Thursday as workers struggled to bury hundreds of victims of Tropical Storm Jeanne.",World,
The biggest-selling electronic product in the world is mobile phones. Analysts estimate that consumers from Canada to China will snap up more than 600 million handsets this year -- five times the number of TVs or personal computers expected to sell.,Sci/Tech,
Lionel Messi scores hat-trick as Barcelona beats Real Madrid 3-2 in El Clásico,Sports,Sports
