text,label
"AP - For Marion Jones, Sydney must seem far more than half a world away. Those Olympics were some dreamland where she ruled track and field with a golden touch and a sweet smile, winning five medals that turned her into an international superstar.",Sports
Coach Bill Cowher finally confirmed yesterday the Pittsburgh Steelers'' worst-kept secret: Duce Staley is in at running back and Jerome Bettis is out again.,Sci/Tech
"BRITISH soldier of fortune and former Scots Guard officer Simon Mann, the alleged leader of a failed African coup dtat, has been specially targeted for systematic torture by guards in Zimbabwes notorious Chikurubi Prison, according to two ",Sci/Tech
"Reuters - Online auctioneer eBay Inc. will plug\a recently purchased China site into its global network on\Friday, creating new opportunities for a nascent but\fast-growing operation, its chief executive said.",Sci/Tech
" LONDON (Reuters) - When Colin Montgomerie''s final putt  plopped into the hole on the 18th green at Oakland Hills on  Sunday, it clinched a remarkable Ryder Cup triumph and soothed  the Scot''s personal anguish.",Sports
"MIAMI - Nearly a half-million people were ordered to evacuate as Hurricane Frances swirled toward Florida on Wednesday just weeks after Charley''s devastating visit, threatening to deliver the most powerful one-two punch to hit a state in at least a century.    Those planning to ride out the storm snapped up canned food, water and generators, while military helicopters and planes were flown out of the area and Cape Canaveral''s Kennedy Space Center said it would close on Thursday...",World
A British soldier killed after clashes with militia forces in the southern Iraqi city of Basra was today named as Lance Corporal Paul David Trevor Thomas. ,Sci/Tech
U.S. tanks and snipers took up positions near the revered Imam Ali Shrine and engaged in fierce battles with militants.,Sci/Tech
Chelsea assistant boss Steve Clarke confirmed that Mateja Kezman was hit by a missile from the crowd as football was shamed for the second time in 24 hours.,Sports
"CARACAS, August 22 (Itar-Tass) -- President of Venezuela Hugo Chavez has called on the opposition to recognize the results of a referendum on confidence in the president held on August 15.",Sci/Tech
Fraudsters have developed a potent new computer program that steals Internet banking customers #39; details by duping them into opening up ,Sci/Tech
SPACE.com - The tenth crew of the \International Space Station (ISS) made a short spaceflight early Monday to move a Russian lifeboat \to a new docking port and prepare the station for a pair of upcoming spacewalks.,Sci/Tech
The following is a verbatim copy of a open letter to the Linux community issued by PalmSource. Read on for more information about the new acquisition and FAQs about how PalmSource will use the new resources and the new Palm OS Cobalt version of Linux.,Sci/Tech
Here #39;s what you didn #39;t hear from the Dolphins on Tuesday: You didn #39;t hear anyone suggest this day helps them win. You didn #39;t hear anyone pretend this franchise is improved.,Sports
"Substitute striker Marlon King scored in the final seconds to give second division Nottingham Forest a 2-1 win over West Ham United on Sunday, as fans and players paid tribute to late Forest manager Brian Clough.",Sci/Tech
"Austin Kearns tied the game with a two-out double in the ninth inning, then hit a two-run homer in the 12th and the Cincinnati Reds dealt the Chicago Cubs a key loss, 4-3 Wednesday.",Sports
"com November 4, 2004, 2:38 PM PT. This priority retains its ranking at number five as more and more companies deploy Web services to share business logic, data and processes with each other and with clients.",Sci/Tech
ATHENS (CP) - Canadian sprinter Earle Connor has been suspended from the Canadian Paralympic team pending the final review of his positive drug test by the Canadian Centre for Ethics in Sport.,Sports
Last Thursday #39;s presidential debate was still in progress when the e-mails started trickling in from citizens around the country.,Sci/Tech
"Symantec has released firmware fixes for a string of critical security holes in its firewall/VPN and Gateway Security products which could be exploited to cause a denial of service, identify ",Sci/Tech
"Chip giant Intel announced that it has joined forces with the world #39;s largest handset maker, Nokia, to develop the next generation mobile phone.",Sci/Tech
AP - Takeo Spikes made good on his vow the Buffalo Bills would finally provide some good news for their fans this weekend.,Sci/Tech
"MOSCOW: Russian oil major YUKOS is poised to lose its core Siberian units, but the state will postpone its final move to dismantle the giant firm beyond next weeks tax deadline, analysts predicted on Friday.",Business
