text,label,predicted_label
"Alternative Web browsers like Safari and Firefox will grow in popularity and force Microsoft to respond by improving Internet Explorer, predicts Marc Andreessen, founder of Netscape Communications.",Sci/Tech,?
"NEW YORK - Eli Manning is undeniably the Giants #39; quarterback of the future. But the future is going to have wait. After a summer of speculation, Giants coach Tom Coughlin finally made it official on Sunday ",Sports,?
" BEIJING (Reuters) - Jelena Dokic ran true to the miserable  form she has shown this season, falling 6-3, 6-0 to Thailand''s  Tamarine Tanasugarn in the first round of the China Open  Tuesday.",Sports,?
AP - A University of Idaho football player was shot to death and police arrested two brothers from Seattle after a car chase that extended across two states.,Sports,?
"&lt;p&gt;\&lt;/p&gt;&lt;p&gt; GENEVA (Reuters) - U.S. soccer''s most expensive player,\teenage prodigy Freddy Adu, has won his cybersquatting case\against a man who claimed to be preparing a fan-based Web Site,\an international arbitrator ruled on Thursday.&lt;/p&gt;",Sci/Tech,______
"Linux came out of nowhere to challenge Microsoft in the computer server market, and lately has begun encroaching on its hallowed desktop software business.",Sci/Tech,Sci/Tech
System builders say Intel #39;s latest price cuts will help them clear out old inventory and should move the sweet spot of the company #39;s processor lineup to the 3GHz Pentium 4 from the 2.8GHz Pentium 4. After ,Sci/Tech,Sci/Tech
"The contract offer that Indians general manager Mark Shapiro had made Friday to left-hander David Wells got turned down, as Wells agreed to a two-year deal with the Red Sox.",Sports,?
"THIS MORNING, OR late this evening as we call it here in Britain,the long Half-Life 2 wait will start to be over. You get the multiplayer version, Counter-Strike: Source, the full enchilada at that moment.",Sci/Tech,?
"England #39;s home test matches will disappear from terrestial television after BSkyB won exclusive rights to cover live matches from 2006 to 2009, officials said on Wednesday.",Sports,?
(Sports Network) - Two of the worst teams in the American League square off this evening when the Kansas City Royals and Detroit Tigers continue their four-game set at Comerica Park.,Sports,?
 The United States is on the verge of winning its first fencing medal in twenty years.  Greek sprinters Kostas Kenteris and Katerina Thanou are out of the hospital but not out of the woods. ,Sports,?
A defiant David Coulthard says he has no plans to retire from Formula One after the season-ending race in Brazil. The Briton will leave McLaren after the ,Sports,?
"Tokyo, Aug. 23 (Jiji Press)--NTT DoCoMo firmed on the Tokyo Stock Exchange Monday morning following a media report that it will start procuring mobile phone handsets made by Motorola Inc.",Sci/Tech,?
Reuters - DreamWorks Animation SKG\Inc.''s initial public offering raised a more-than-expected  #36;812\million on Wednesday in a deal that marked the first IPO by a\major movie studio in seven years.,Business,?
"Framingham resident Arly Noel, a junior midfielder on the Mount Ida College of Newton men''s soccer team, was named to the All-North Atlantic Conference first team after finishing among the nation''s top 30 NCAA Division 3 players with a team-high 11 assists.",Sports,?
"Conrad Black and other controlling shareholders of Hollinger used \$400 million for personal perks, a new report says.",Business,?
Several research teams are developing robots made of smart building blocks that can morph into different forms to perform a broad variety of tasks. The bots are to be used in space missions and in search-and-rescue efforts. By Lakshmi Sandhana.,Sci/Tech,?
"Obviously, we #39;re very disappointed, #39; #39; Miami #39;s coach said in the wake of a shocking 31-28 loss at North Carolina.",Sports,?
 SINGAPORE (Reuters) - Japanese shares rebounded from  three-month lows on Tuesday but stubbornly high oil prices and  concern over their impact on corporate earnings capped gains.,Business,?
"AP - Allen Iverson stole an inbound pass, drove down the court and made a layup at the buzzer, giving the Philadelphia 76ers a 116-114 overtime victory over the Washington Wizards on Friday.",Sports,?
The Golden State passes a law aimed at cracking down on what some feel is the internet''s next scourge -- spyware. But critics say it''s only a partial step toward protecting consumers.,Sci/Tech,Sci/Tech
"US dialysis company DaVita Inc., a major employer in Pierce County, is poised to buy a Swedish health care companys dialysis operations in a \$3 billion deal, the Wall Street Journal reported Monday.",Business,?
"Nearly three-quarters of IT managers are planning to deploy the Windows XP Service Pack 2 update to their systems, research shows.",Sci/Tech,?
"By Amanda Gardner, HealthDay Reporter    HealthDayNews -- Nursing home residents who take daily doses of vitamin E appear to be less likely to develop certain respiratory infections, a new study finds.    The protective effect was most pronounced with upper respiratory infections, such as the common cold...",Sci/Tech,?
"Martin Jol is likely to be named the new manager of Tottenham after Jacques Santinis shock decision to quit yesterday. The Dutch assistant coach will take charge of todays game against Charlton, and ",Sports,?
Software giant Microsoft is casting its sights on the digital media marketplace by positioning itself as pro-consumer-choice. The company unveiled its MSN Music ,Sci/Tech,?
"(Sports Network) - Roger Clemens tries to win his seventh straight decision and possibly vault the Houston Astros into the lead in the National League wild card standings, as they go for a three-game sweep of the NL Central champion St.",Sports,?
OAUG (Oracle Applications Users Group) president Patricia Dues said today that the organization is in the midst of plans to support PeopleSoft users and the PeopleSoft user group.,Sci/Tech,?
The following is a verbatim copy of a open letter to the Linux community issued by PalmSource. Read on for more information about the new acquisition and FAQs about how PalmSource will use the new resources and the new Palm OS Cobalt version of Linux.,Sci/Tech,Sci/Tech
