0,1,2,3
1000_train,Hartford executive #39;s stock sale probed,New York AG is investigating the timing of a sale by Thomas Marra; company reports higher 3Q. NEW YORK (Reuters) - The Hartford Financial Services Group Inc.,Business
1001_train,Cool Batman Photo!,"In related news, it was announced yesterday that Warner Bros. Interactive Entertainment, DC Comics and Electronic Arts will bring a Batman Begins videogame tie-in.",Sci/Tech
1002_train,Stocky Monkey in Himalayas Becomes Newest Primate Species,Scientists from India working in the Himalayas have discovered a new species of monkey.,Sci/Tech
1003_train,"Bush, Kerry Don''t Worry About Tech","Election Day is less than two weeks away, but so far technology has yet to make more than the occasional cameo appearance on either presidential candidate''s priority list. That''s not proving to be good news for tech executives. &lt;FONT face=''verdana,MS Sans Serif,arial,helvetica'' size=''-2''\ color=''#666666''&gt;&lt;B&gt;-washingtonpost.com&lt;/B&gt;&lt;/FONT&gt;",Sci/Tech
1004_train,The Teeming Crowd in Video Games,"Jeffrey Griffiths, the president and chief executive of the video game retailer Electronics Boutique Holdings, spoke about the holiday season and video violence.",Sci/Tech
1005_train,Report: VoIP to Top 12M Homes by 2009,"The number of US households using Voice over IP (define) will rocket from 400,000 to 12 million over the next five years, a new report from JupiterResearch predicts.",Sci/Tech
1006_train,Free Yahoo X1 desktop search,"p2pnet.net News:- Yahoo says it #39;ll enter the desktop search stakes in the New Year, joining Google, Ask Jeeves, Microsoft #39;s MSN and AOL.",Sci/Tech
1007_train,Black Duck #39;s protexIP  Safer Open Source Code Usage,"Open source can immediately prompt the words  #39;law suit #39; in some peoples #39; minds, but Black Duck have introduced a software platform that helps developers catch and resolve potential intellectual property disputes.",Sci/Tech
1008_train,Apple breeze past the 200 Million iTunes mark,"Apple have announced that their iTunes store has crashed through the 200 million song download mark, a mere five months since we reported on their breaking the 100 million milestone.",Sci/Tech
1009_train,"RealNetworks Halves Music Prices, Sees Wider Loss (Reuters)",Reuters - RealNetworks Inc. on Tuesday halved\prices for songs downloaded from its online music store to win\customers for new technology that has rankled rival Apple\Computer Inc.,Sci/Tech
100_train,Stocks Set to Open Higher,"Stocks were set to open higher Tuesday, with the blue-chip Dow industrials aiming to push back above 10,000 mark. Oil prices remain in focus, with crude reaching above \$50 a barrle in premarket trading.",Business
1010_train,"PeopleSoft Defies Oracle Bid, Pursues IBM","&lt;p&gt;\&lt;/p&gt;&lt;p&gt; By Spencer Swartz&lt;/p&gt;&lt;p&gt; SAN FRANCISCO (Reuters) - PeopleSoft Inc. will push ahead\with a new marketing alliance with IBM and other initiatives\despite a recent court ruling that bolstered Oracle Corp.''s\\$7.7-billion hostile bid to acquire the company, PeopleSoft''s\CEO said on Tuesday.&lt;/p&gt;",Sci/Tech
1011_train,Tech Groups Want Induce Hearings,Over 40 technology companies and organizations send a letter to the Senate Judiciary Committee asking it to hold public hearings on the controversial Induce Act before moving forward. By Katie Dean.,Sci/Tech
1012_train,TI Unveils Digital TV Chip for Cell Phones,"Texas Instruments unveiled a single chip solution for cell phones. Code-named  quot;Hollywood, quot; the new chip integrates a tuner, OFDM demodulator and channel decoder processor.",Sci/Tech
1013_train,IBM Expands RFID Offerings (NewsFactor),"NewsFactor - IBM (NYSE: IBM) has unveiled a collection of new services designed to bring the benefits of radio-frequency identification (RFID) systems to industrial firms and mid-size businesses. The goal is to help smaller companies comply with mandates to adopt the technology by \Wal-Mart (NYSE: WMT), the Department of Defense and other organizations.",Sci/Tech
1014_train,McAfee #39;s Trojan error ires developer,"Most IT Managers won #39;t question the importance of security, but this priority has been sliding between the third and fourth most important focus for companies.",Sci/Tech
1015_train,Quake Shakes Mount St. Helens,Scientists hoped good weather yesterday and today would allow them to get a better look at the volcano. A flurry of small earthquakes beginning in late September were followed by a burst of steam and ash on ,Sci/Tech
1016_train,"Earthlink, Yahoo test new antispam system",WASHINGTON - EarthLink Inc. and Yahoo Inc. said today they would begin tests of a new anti-spam technology that encodes digital signatures into customers #39; e-mail as a way to separate legitimate messages from unwanted spam.,Sci/Tech
1017_train,Volcano Appears to Rest After Letting Off Steam,The earthquakes that have shaken the area for two weeks stopped almost entirely after Mount St. Helens let out a burst of steam and ash for the fifth straight day.,Sci/Tech
1018_train,Gateway Debuts Cool New PC,Gateway released the specifications this week for a retail desktop PC based on a new motherboard design that should help cool high-end processors and graphics cards.,Sci/Tech
1019_train,Waterproof IPod Housing All Wet,"After you''ve joined the music revolution and plunked down \$250 for an Apple iPod mini, it''s easy to become quite protective of the little gizmo.",Sci/Tech
101_train,Boston Scientific goes shopping,"The Natick medical devices company is using profits from its successful Taxus stent to expand into new areas. By Ross Kerber, Globe Staff  December 6, 2004.",Business
1020_train,FCC Insists Broadband Deployment Improving,"US communications regulators on Thursday insisted the United States was making progress in rolling out high-speed Internet service, despite falling further behind other countries.",Sci/Tech
1021_train,Holiday Online Sales Growth To Slow This Year (NewsFactor),"NewsFactor - Retailers that saw impressive growth in year-over-year online sales during last year''s holiday season should not look for the same results this year, according to estimates by Forrester Research.",Sci/Tech
1022_train,"Indian, Pakistani Firms OK Tech Agreement (AP)",AP - Private Indian and Pakistani information technology companies will meet in the Pakistani capital next month to tap business opportunities and sign a cooperation agreement.,Sci/Tech
1023_train,"For Nextel, Merger Is Time Of Trepidation","As details of the rumored merger between Sprint Corp. and Nextel Communications Inc. were being finalized behind closed doors late Tuesday, Miguel Avila, who heads Nextel''s Hispanic marketing, summed up the mood of employees at the company''s Reston headquarters.",Sci/Tech
1024_train,Possibly the fastest way to spend money,"Next, you could have a Motorola mobile phone with MasterCard PayPass to help you spend money faster.  quot;This is layering on more features to make the cell phone ",Sci/Tech
1025_train,They Are Sleuths Who Weigh Prose,Trying to authenticate documents or uncover forgeries is an increasingly technical pursuit.,Sci/Tech
1026_train,PeopleSoft''s Chief Executive Rallies His Troops Vs. Oracle (Investor''s Business Daily),"Investor''s Business Daily - PeopleSoft Chief Executive Craig Conway rallied 13,000 company faithful during his keynote speech Tuesday at the company''s annual users'' conference in San Francisco.",Sci/Tech
1027_train,Sony tries to win back flat-panel TV market,TOKYO - Sony Corp is attempting to claw back market share of the domestic flat-panel TV market with the launch of eight new televisions.,Sci/Tech
1028_train,AT amp;T upgrades Net security tools,"The enhancements, which will be incorporated early next year, are designed to provide enterprises with protection from worms and viruses, without forcing customers to install firewalls at each location in a network, the company said.",Sci/Tech
1029_train,Ready for Liftoff,"Here in the lime-green payload bay of the space shuttle Enterprise, Anne McCombs is going boldly where -- well, where only a few men have gone before.",Sci/Tech
102_train,Tax-fight veterans see hurdles for Bush,The two primary architects of Congress''s last major tax reform say President Bush has failed to lay the groundwork for his ambitious tax agenda and will have to invest a vast amount of political capital to succeed in simplifying the code.,Business
1030_train,Lycos Europe denies attack on zombie army,Internet portal Lycos Europe has denied that its  quot;Make love not spam quot; Web site was hacked into and defaced last night. The company said that an e-mail that contained an apparent mirror image of the Web site being hacked was a hoax generated by spammers.,Sci/Tech
1031_train, #39;Critical #39; XP SP2 Update Fixes Windows Firewall Bug,Microsoft Corp. has quietly released a  quot;critical quot; Windows XP Service Pack 2 update to fix a serious flaw in the Windows Firewall utility.,Sci/Tech
1032_train,Cell to Drive PS3,"Sony and IBM are expected to start producing the Cell, a 4GHz chip the two companies have been working together on for the past three years.",Sci/Tech
1033_train,A Patent Strain on Innovation,"OCTOBER 04, 2004 (COMPUTERWORLD) - Some things are patently ridiculous. One is the US patent system, an institution in desperate need of reform.",Sci/Tech
1034_train,U.S. Firmly Anti-Kyoto as U.N. Climate Talks Start (Reuters),"Reuters - The United States\showed no signs of budging in its opposition to the Kyoto\protocol Monday as U.N. climate change talks began, a month\after President Bush''s reelection and Russia''s ratification of\the agreement.",Sci/Tech
1035_train,Faulty Sensors May Explain Capsule Crash,"The crash of a capsule last month was likely to have been caused by a design flaw that led to the sensors that were to deploy the capsule''s parachutes being pointed in the wrong direction, a NASA investigatory panel reported.",Sci/Tech
1036_train,IBM Unwraps Middle Tier i5 Server,"IBM on Tuesday unveiled the eServer i5 550, a new addition to its Power 5-based lineup that it #39;s aiming at mid-sized business. ",Sci/Tech
1037_train,Giants to Offer Wi-Fi Instant Replays (AP),"AP - Peanuts, hot dogs and wireless instant replays. It''s the future of baseball.",Sci/Tech
1038_train,Update 4: Two Firms Cleared of Swapping Violations,"In a judicial blow to the entertainment industry, a federal appeals court ruled that makers of two leading file-sharing programs are not legally liable for the songs, movies and other copyright works their users swap online.",Sci/Tech
1039_train,Motive aims to head off system glitches,Three new software management tools are designed to help businesses keep applications configured properly to avoid snarl-ups.,Sci/Tech
103_train,Cingular Confirms Job Cuts,"Layoffs at Cingular Wireless were inevitable after it acquired AT amp;T Wireless, but what #39;s with the timing? A Cingular spokesman yesterday confirmed an Associated Press report that Cingular ",Business
1040_train,US Files Suit Against Alleged  quot;Spyware quot; Distributor,"Officials in the US are cracking down on an alleged distributor of Internet  quot;Spyware. quot; In the first suit of its kind, the US Federal Trade Commission (FTC) claims Seismic Entertainment and SmartBot, secretly installs programs on a users #39; computer without ",Sci/Tech
1041_train,Sun to tout Wall Street wins in September,"Struggling Sun Microsystems will try to show next month that it still has a lot of friends in the financial community. On Sept. 21, the Mountain View, Calif.",Sci/Tech
1042_train,Thai Scientists Begin Probe in Big Orangutan Case (Reuters),Reuters - Thai scientists began an investigation\Monday into what some conservationists believe could be the\world''s biggest case of ape smuggling -- nearly 100 orangutan\found in a Bangkok amusement park.,Sci/Tech
1043_train,Drier Times Ahead in the West?,Scientists unlock the rainfall history stored in tree rings and find evidence of long dry periods in the past that dwarf the current drought in the western United States. The research hints at another monster drought to come. By Stephen Leahy.,Sci/Tech
1044_train,Science sidelined,"ONCE AGAIN a Bush administration scientific report blames emissions of carbon dioxide and other greenhouse gases for global warming, and once again the reaction of the Bush White House is to say the evidence does not warrant action.",Sci/Tech
1045_train,"2,500-Year-Old Pomegranate Found in Greece","A scientific dig has uncovered four pomegranates believed to be 2,500 years old preserved inside a woven basket nestled in a bronze vessel, a Greek archaeologist said Friday.",Sci/Tech
1046_train,"HP sinks utility project, lays off some workers","Hewlett-Packard is getting rid of one of its high-profile utility computing projects, although much of the technology will live on in other initiatives.",Sci/Tech
1047_train,MIKE WENDLAND: Messaging update is mostly good news,"After years of being deluged with ever-increasing loads of spam, Internet users are starting to turn to instant-messaging applications instead of e-mail.",Sci/Tech
1048_train,Geneticists rewire muscles to create a  #39;marathon mouse #39;,"California geneticists have created a  quot;marathon mouse quot; that can run twice as far nongenetically altered mice, and eat ravenously without growing fat.",Sci/Tech
1049_train,IBM and Intel to open up blade specifications,"In an effort to encourage hardware vendors to build components for the blade platform they co-develop, Intel Corp. and IBM Corp. on Thursday will open up parts of the BladeCenter ",Sci/Tech
104_train,Update 1: Andrx Misses Forecast on Drug Delays,"Andrx Corp. #39;s third-quarter results missed projections, as the launch of some generic products was delayed and the company #39;s exclusivity rights to two drugs expired.",Business
1050_train,Spam the spammers: Lycos,"p2pnet.net News:- If you #39;ve wondered just how much people hate spam, wonder no more. A couple of days back, Lycos Germany launched a vigilante screen-saver to beat people sending out advertiusing junk mail at their own game.",Sci/Tech
1051_train,"A new, more sneaky phishing attack","Phishing scams, already one of the main nemesis on the Net, have apparently just become even more sneaky -- and ingenious. Now, it appears phishing authors are borrowing some time-tested tactics ",Sci/Tech
1052_train,Apple disables iTunes plug-in,"com November 2, 2004, 4:35 PM PT. With the latest version of iTunes, Apple has disabled an add-on program that let people transfer songs off of their iPod.",Sci/Tech
1053_train,IBM jumps into Liberty Alliance,"com October 21, 2004, 7:42 AM PT. This priority retains its ranking at number five as more and more companies deploy Web Services to share business logic, data and processes with each other and with clients.",Sci/Tech
1054_train,Brazil Successfully Launches First Rocket Into Space,"Brazil has successfully launched a test rocket from the Alcantara base in northern Brazil on Saturday, October 23. The two-stage VSB-30 prototype flew for seven minutes at an altitude of about 100 kilometers above the earth.",Sci/Tech
1055_train,EBay''s China Site to Join Worldwide Network (Reuters),"Reuters - Online auctioneer eBay Inc. will plug\a recently purchased China site into its global network on\Friday, creating new opportunities for a nascent but\fast-growing operation, its chief executive said.",Sci/Tech
1056_train,"World Follows U.S. Race by Internet, TV (AP)","AP - Satellites and telephone wires bring the battle for the White House to an Internet cafe 7,200 miles away in Addis Ababa, capital of Ethiopia, where Girma Hagos goes for his daily dose of U.S. election news.",Sci/Tech
1057_train,Many Users Are Unfazed by Scaled-Back Longhorn Plan,"SEPTEMBER 06, 2004 (COMPUTERWORLD) - The next major Windows release, code-named Longhorn, is due to arrive so far into the future that many corporate users aren #39;t particularly bothered by Microsoft Corp.",Sci/Tech
1058_train,Cities try last-minute grab for Net phone taxes,"A day before federal regulators are expected to free VoIP providers from state taxes, two California cities want their cut.",Sci/Tech
1059_train,Adobe releases hobbyist Photoshop package,"com October 13, 2004, 12:19 PM PT. According ZDNet #39;s survey of IT professionals in October, application development is the last priority, but nonetheless an important one.",Sci/Tech
