text,label
Snoop Dogg running deep post routs for Matt Leinart. Snoop Dogg rapping and giving a pep talk inside the locker room of the top-ranked USC Trojans.,Sports
Sonny Riccio ran for two touchdowns and passed for 148 yards to lead Delaware to a 28-14 win over visiting Lafayette yesterday in the first round of the Division 1-AA playoffs.,Sports
"A growing number of older Americans are discovering the Internet. Across the country, programs have sprouted at senior centers and libraries to help people master the Internet, which advocates say is an important tool for seniors trying to overcome isolation and stay independent.",Sci/Tech
"Three new variants of the Bagle virus that emerged last week are still in circulation, but the attacks seem to be leveling off. While the latest viruses have some sophisticated features, security ",Sci/Tech
"Credit Suisse First Boston, the securities unit of the Credit Suisse Group of Zurich, replaced Adebayo O. Ogunlesi as head of investment banking with its president, Brian D. Finn, eight weeks after Brady W. Dougan was named chief executive. ",Business
At least 13 Iraqis were killed and other 50 injured most of them are members of the Iraqi police in a booby trapped car explosion that targeted a main inspection point for the Iraqi police at al-Rasheed street in the downtown of Baghdad.,World
"IE is subject to a trio of unpatched vulnerabilities, security firm Secunia warned yesterday.",World
"A HYPERSONIC rocket inspired by Australian technology has smashed the world speed record, travelling at 11,000km/h. RECORD bound .",Sci/Tech
"The Mars Global Surveyor released the latest glyph image that appears to evoke the kinds of communication in rock formations that has become famous among Mars'' watchers on the internet. But there is a serious side to interpreting remote sensing data, and shadow is not always one''s ally...",Sci/Tech
AP - The Florida Marlins found an appropriately wild end for their weird stay in Chicago.,Sports
AUSTIN Farmers Insurance today announced plans to cut its Texas homeowners insurance rates by five percent in a settlement with the state.,Business
"NEW YORK : Wall Street shares closed higher on Tuesday, but record oil prices capped the day #39;s gains amid concerns over a multi-billion-dollar tax bill facing Russian oil giant Yukos. ",Business
"Hunt Valley, MD (Sports Network) - Wayne Levi matched the course record of eight-under-par 64 on Friday to take a one stroke lead after the opening round of the Constellation Energy Classic.",Sports
You share a pepperoni pizza. You even share a Nobel Peace Prize. You do not share the NFL MVP Award.,Sports
 LONDON (Reuters) - Oil prices hit a new record near \$51 a  barrel on Tuesday as a prolonged U.S. production outage  following Hurricane Ivan attracted fresh speculative buying.,Business
"TIM HENMAN last night admitted all of his energy has been drained away as he bowed out of the Madrid Masters. The top seed, who had a blood test on Wednesday to get to the bottom of his fatigue, went down ",Sports
"Yahoo #39;s (Quote, Chart) public embrace of the RSS content syndication format took a major leap forward with the release of a revamped My Yahoo portal seeking to introduce the technology to mainstream consumers.",Sci/Tech
Why is science seemingly at war with President Bush?,Sci/Tech
"BRUSSELS - The European Union cannot start entry negotiations with Turkey unless Ankara adopts a reform of its penal code, a European Commission spokesman said on Monday.",World
"I was dying to ask. How on earth do you survive 13 full years playing for, arguably, the most demanding manager this country has ever seen?",World
"NEW YORK -- NBA referees have entered into a five-year collective bargaining agreement with the league, removing the possibility of having replacement officials work the upcoming season.",Sports
"US blue-chip stocks finished higher on Friday, helped by gains in energy companies #39; shares, although investors showed caution before next Tuesday #39;s presidential election.",Business
THE calamity-prone Arsenal goalkeeper Jens Lehmann will be the centre of more derision from Gunners fans after his two horrendous blunders cost the English giants an important win in a 2-2 draw with Panathinaikos in Athens.,Sports
"They spent the summer marveling over their lineup changes and their improvement, the big-name veterans they signed and the strategic concepts they imported from the champion New England Patriots.",Sports
"India #39;s software exports are on track to grow by 30 percent in the year to March 2005, despite attempts in the key US market to discourage outsourcing and protect jobs, the industry #39;s head said on Monday.",Business
"The United States remains a world leader in science that other countries try to imitate, the science adviser to President Bush told an audience at the University of Toledo yesterday.",Sci/Tech
"AP - Curt Schilling became the first 19-game winner in the major leagues this year and Manny Ramirez homered twice, including his second grand slam of the season, to lead the Boston Red Sox over the Seattle Mariners 13-2 Friday night.",Sports
roundup Plus: Oracle gives PeopleSoft shareholders more time...Cisco reports access control server flaws...Toshiba tinkers with Wi-Fi for TV.,Business
"Linebacker Keith Brooking makes the claim after 4-0 Atlanta matches the best start in franchise history. By Associated Press. CHARLOTTE, NC - The Atlanta Falcons stormed off the Panthers #39; field, a victory in hand and a message for the rest of the NFL.",World
"China #39;s real gross domestic product (GDP) is projected to average around 9 percent in 2004 andto slow to about 7.5 percent in 2005, the International Monetary Fund (IMF) said Wednesday.",Business
United States sprinter Jerome Young was banned for life by the US Anti-Doping Agency yesterday following his second positive test for an illegal steroid in a case that could affect a US relay team #39;s gold medal from Sydney.,Sports
A British soldier killed after clashes with militia forces in the southern Iraqi city of Basra was today named as Lance Corporal Paul David Trevor Thomas. ,World
"When Jets coach Herman Edwards started reviewing the many problems that plagued his defense last year, one glaring weakness jumped out at him.",Sports
"MOSCOW -- Police intercepted a car packed with explosives in central Moscow yesterday and said they had thwarted a terrorist attack, Russian media reported. A suspect told investigators he was being paid \$1,000 to take the car to a major thoroughfare used by President Vladimir Putin, news agencies and television said, quoting security forces. The suspect died from a heart ...",Sci/Tech
"In percentage terms, Maryland, Virginia and the District saw much stronger levels of job creation in July than the nation as a whole.",Business
"AFP - The world''s biggest software company, Microsoft Corp, said that its first quarter profits swelled to 2.9 billion dollars as consumers and businesses pumped up demand for new computers.",Business
"Finnish mobile phone manufacturer Nokia Corp. will offer mobile anti-virus software through F-Secure Corp. as one of the features in its new Nokia 6670 smart phone when it is released in October, the companies announced Thursday.",Sci/Tech
FULHAM #39;S United old boy Andy Cole fears his former team are poised to leave their critics red-faced. The Reds haven #39;t lost in the Premiership since defeat at Portsmouth six matches ago when they were being written off in the title race.,Sports
"KABULA day after Afghan President Hamid Karzai escaped a rocket attack on his helicopter, he slipped away from his US security guards and left the presidential ",World
"A man in Thailand has died of avian flu, the first human casualty in the country since the disease re-emerged in Asia in July, officials said Thursday.",World
