text,label
Google Announces AI-Powered Virtual Assistant for Small Businesses,Business
"WASHINGTON - The Congressional Budget Office projected Tuesday that this election-year''s federal deficit will hit a record \$422 billion, a shortfall that would be smaller than analysts predicted earlier this year.    The figure immediately provided political fodder for both parties now in the final two-month stretch of the presidential and congressional campaigns...",World
Lionel Messi scores hat-trick in Barcelona's thrilling victory over Real Madrid,Sports
"Nortel Networks said on Thursday it will slash its work force by 3,500, or 10 percent, as it struggles to recover from an accounting scandal that toppled three top executives and led to a criminal investigation and lawsuits.",Sci/Tech
"HEMPSTEAD, NY - He was drafted in the first round in 2000 out of Marshall, at the head of the same quarterback class that yielded Tom Brady, but Chad Pennington #39;s road to success has been more deliberate.",Sports
Lionel Messi scores hat-trick as Barcelona beats Real Madrid 3-2 in El Clásico,Sports
"Global tech giant Apple has announced plans to expand its operations in India, with the company set to invest $100 million in a new manufacturing facility in the country. The move is expected to create thousands of jobs and further solidify Apple's position as a leading technology player in the region. #Apple #India #manufacturing",Business
"Australia #39;s biggest retailer, Coles Myer, hopes it has silenced its detractors by posting a record annual profit, which was above its own guidance and market expectations.",Business
"The free Firefox Web browser, which has chipped away at the market dominance of Microsoft #39;s Internet Explorer, has been readied for a full release including new features designed to make it more stable, backers of the program say.",Sci/Tech
"Researchers at MIT have developed a new material that could revolutionize the way we generate electricity. The material, called 'super-capacitor,' can store and release energy up to 10 times faster than traditional batteries. This could lead to more efficient and sustainable energy storage systems, potentially transforming the way we power our homes and devices. #SciTech #EnergyStorage",Sci/Tech
"One of the tongue-in-cheek rules that we column-writers have is,  quot;Often wrong, never in doubt. quot; Take a stand, don #39;t duck and weave too much.",Business
"Taiwan rescue workers dug out seven bodies from mud and rock in a mountain village that was hit by a devastating landslide triggered by Typhoon Aere, but eight still remained buried, officials said on Friday.",World
Stock market sees surge in investor optimism amidst economic recovery,Business
US Airways Group Inc. met with two unions to try and agree on concessions before an Oct. 7 hearing at which a bankruptcy judge might let the carrier temporarily reduce pay 23 percent to help avoid potential liquidation.,Business
"Massive protests erupt in Hong Kong as China imposes new security law, sparking fears of erosion of autonomy and democratic rights. #HongKongProtests #China #HumanRights",World
New study reveals that remote work can increase productivity by 25%,Business
Lionel Messi scores hat-trick as Barcelona beats Real Madrid in El Clásico,Sports
Singapore #39;s Prime Minister Lee Hsien Loong on Sunday night delivered his first National Day Rally speech since he was sworn in as the country #39;s third Prime Minister.,World
Lebron James leads Lakers to thrilling victory over Warriors,Sports
Global Market for Electric Vehicles Expected to Reach $1 Trillion by 2025,Business
Researchers discover new species of ancient human in the Philippines,Sci/Tech
"Major earthquake strikes Indonesia, at least 100 dead and thousands displaced",World
